slide_id	type_label	prop_type_label	cell_count	cancer_type	area	perimeter	eccentricity	solidity	orientation	major_axis_length	minor_axis_length	aspect_ratio	circularity	centroid_x	centroid_y
BL-18-T28212	all_cells	1.0	1000000	Colorectal	139.013759	43.95747727314051	0.7356860560202692	0.9223793405010001	-0.015094646676683917	16.726798996875804	10.112511581177182	1.7353404467475704	0.8588091453013406	27268.887515	35743.1924145
BL-18-T28212	immune_cells	0.425531	425531	Colorectal	96.83206863894758	36.052132319646674	0.7025786527475477	0.9282154384204928	-0.029060311047082663	13.68393793960448	8.853361900960222	1.5841614558723875	0.9158978030107093	26060.826653052303	40365.244310050264
BL-18-T28212	Connective tissue	0.315498	315498	Colorectal	129.91196140704537	44.52782855282006	0.8107893203972646	0.9120546867168983	0.026659884497093184	17.936397327108068	9.018687662234953	2.0994534373137936	0.8007520181303038	26450.020423267342	33345.34593880151
BL-18-T28212	Eosinophil	0.004202	4202	Colorectal	87.57091861018563	33.81529102472453	0.6817508467083424	0.9276514239380049	-0.022520978686248447	12.698004392063318	8.596813480307578	1.5065363449852083	0.936772134677358	27818.596144693005	42953.37779628748
BL-18-T28212	Epithelial	0.258971	258971	Colorectal	219.41355595800303	56.25238541099705	0.6985903839860689	0.9253679648481158	-0.04301533258770939	20.253085162392818	13.514075776978412	1.540161939765882	0.8357328699828004	30251.531426298698	31069.655231666868
BL-18-T28212	Lymphocyte	0.412133	412133	Colorectal	96.67446431127816	36.03928338723312	0.7033068831466043	0.9282524588529835	-0.028919080348168112	13.688790713005666	8.841253216317433	1.586971086438606	0.9156260823135118	26008.665780221432	40440.527357673374
BL-18-T28212	Neutrophil	0.004437	4437	Colorectal	95.72120802343926	35.11487126319309	0.6955512126590613	0.9200169998819138	-0.08168634192862062	13.115525982501788	8.756740445084473	1.5299882181996283	0.9238511177424327	27627.820486815417	32193.702050935317
BL-18-T28212	Plasma	0.004759	4759	Colorectal	119.69363311620089	40.01374263507942	0.6644553944149171	0.9331511641501462	0.0020003304333558953	14.66417508192022	10.218588711464395	1.459892890491992	0.9135826668413813	27564.990964488337	39179.1060096659
BL-15-D34661	all_cells	1.0	22708	NSCLC	87.54209970054606	34.63172545400245	0.7287992820438605	0.9267509096582053	-0.02652067345000768	13.372981223879085	8.36239513199965	1.6565697216263489	0.9049584857751997	1624.6754007398274	25955.87909547296
BL-15-D34661	immune_cells	0.7231372203628678	16421	NSCLC	86.62085134888252	34.00603031349334	0.7031721081669655	0.9310696353025847	-0.052996515337896316	12.897497625615054	8.550231722751752	1.545262085265407	0.9272312400742702	1606.9701601607696	26201.4680591925
BL-15-D34661	Connective tissue	0.214461863660384	4870	NSCLC	86.80123203285422	35.848784468567445	0.8107780296572192	0.9134083830965568	0.03508326923213446	14.642329152627418	7.58436482874556	2.0200571297259957	0.838350689491057	1689.6688911704312	25947.52289527721
BL-15-D34661	Eosinophil	0.004183547648405848	95	NSCLC	70.98947368421052	30.900008339088288	0.740805702469447	0.9262991493894065	0.04963604358819032	12.087920828046052	7.490606839597065	1.6551761270071716	0.9233389511361685	1574.5263157894738	31194.826315789473
BL-15-D34661	Epithelial	0.06240091597674828	1417	NSCLC	100.76429075511645	37.69980061375445	0.7440338066419091	0.9225591739834503	0.06857360938625705	14.520611254993577	8.859602556210758	1.6972182884843183	0.8757694028949864	1606.4816513761468	23138.573747353563
BL-15-D34661	Lymphocyte	0.636119429276026	14445	NSCLC	86.05732087227415	33.936566293631095	0.7069622985347064	0.9309241887386167	-0.0524790747744528	12.904150581871253	8.501062390292121	1.5547347686383595	0.9259724726842975	1608.1376254759432	26215.980685358256
BL-15-D34661	Neutrophil	0.02488109917209794	565	NSCLC	76.0283185840708	31.50495081986416	0.7004425074253277	0.9260442662484025	-0.08297323131805892	12.003770392383464	7.9610402691892705	1.5448074579871358	0.9403486337820113	1638.8734513274337	28850.27256637168
BL-15-D34661	Plasma	0.05795314426633785	1316	NSCLC	98.48252279635258	36.06650886089392	0.6600244889407302	0.9351680435806108	-0.05321511526808474	13.266619000557391	9.419387150215162	1.433546370314388	0.935697300068496	1582.8005319148936	24544.493541033433
BL-16-D49026	all_cells	1.0	581355	NSCLC	141.64984905952474	43.089345432931424	0.6261222506954055	0.9366303893200169	0.018385692469153714	15.423015429936562	11.291737669616225	1.3896264837610164	0.918750346730138	13528.069809324767	15155.90386424818
BL-16-D49026	immune_cells	0.6930292162276062	402896	NSCLC	121.67000168778047	39.7656541806178	0.6083552125344922	0.9386075347697891	0.00782932261559117	14.209397465048449	10.665061470127965	1.3489863326826927	0.938316106158761	13500.242375203527	15326.039420843095
BL-16-D49026	Connective tissue	0.1698652286468681	98752	NSCLC	158.31662143551523	46.60154185573586	0.6816948820945626	0.9295780643606898	0.03872666590934099	17.026623480707	11.531044626552356	1.5363307223773022	0.8776863484619992	13595.563087329876	15760.618858352236
BL-16-D49026	Eosinophil	0.004506712765865951	2620	NSCLC	116.5706106870229	38.99363595791126	0.6380374572293908	0.9329994311118667	-0.016359042832186112	14.067989110459308	10.243055377331245	1.3950343893234751	0.9272743602500456	14178.496755725191	13677.510877862596
BL-16-D49026	Epithelial	0.13710555512552572	79707	NSCLC	221.99314991155106	55.538258196520125	0.6470785043613289	0.9353738773606165	0.04654391419818081	19.570735471487243	14.162919541442607	1.4132933804829695	0.8707267822529997	13585.109538685436	13546.713325053006
